County,population_density,FPLi,logG,Logperin,population,pergdp,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,T_total,Clinician_Count_DO,Nurse_practitioner_Count,Bed Census,Total Staffed Bed Capacity,Hospitalized,ICU Cases,Percent Remaining Vent Capacity,Ventilator Capacity,C_plus_65,C_plus_65_ratio,lethality
Duval,1.551512222462139,100.68,7.771192777003418,4.6643974986074666,13.785743894121003,60.83034433876737,210,615,2853,4036,2826,2362,1830,1036,481,288,11.996153761544115,192,1121,2613.0,3892.0,50.0,15.0,0.97451147,588,1805,0.1090898102260365,0.028051181102362203
Escambia,0.20627811592305226,96.75,7.150251843468325,4.62876685723129,12.679613760488895,44.0114375930297,64,182,1172,1170,817,697,690,455,328,189,10.901044858238631,77,362,1000.0,1344.0,21.0,6.0,0.960720131,153,972,0.16860364267129227,0.038038038038038034
Flagler,-0.2564166141575905,94.58,6.334255659654564,4.664829941143091,11.613991773705031,19.514755728295746,11,20,89,96,74,100,108,100,38,14,9.356948391612272,13,53,87.0,112.0,4.0,2.0,0.897435897,20,152,0.23384615384615384,0.024154589371980683
Franklin,-0.6186726710040563,90.28,5.5305108951151585,4.5561577118071535,9.415157006597509,27.64140796871181,0,2,4,8,5,8,14,8,5,2,7.6004023345004,1,7,2.0,15.0,1.0,1.0,0.75,4,15,0.26785714285714285,0.0
Gadsden,-0.4962328400777808,93.91,6.083074923064669,4.545789398005561,10.742400356388892,26.164336495451302,18,52,97,149,168,133,84,54,35,18,8.999372396592106,0,17,0.0,0.0,6.0,2.0,0.6,5,107,0.13242574257425746,0.013114754098360656
Gilchrist,-0.5668595867335405,94.34,5.585191044802442,4.5285824990438455,9.785041797329646,21.657154114600925,9,10,32,36,34,35,28,16,14,3,7.989221408815276,4,9,0.0,0.0,2.0,1.0,0.0,0,33,0.15207373271889402,0.0
Glades,-0.628458220211471,98.79,5.431469912059238,4.388580721974658,9.481969279105716,20.58272997484948,4,5,39,73,74,45,29,8,2,2,6.818924065275521,0,2,0.0,0.0,3.0,1.0,0.0,0,12,0.04270462633451957,0.008620689655172414
Gulf,-0.6067926028030769,92.43,5.5770825890263245,4.5526803810533565,9.478992518521158,28.86745146002141,2,8,25,21,23,34,14,12,1,1,7.886457270977689,0,8,3.0,20.0,1.0,1.0,0.636363636,3,14,0.09929078014184398,0.0
Hamilton,-0.6080571138092777,90.22,5.593660373872783,4.4152405239139725,9.588776807696428,26.87246575342465,21,34,73,122,88,79,57,25,8,2,8.177515823846075,0,2,0.0,0.0,5.0,2.0,0.0,0,35,0.068762278978389,0.007352941176470587
Hardee,-0.5808629424994288,95.64,6.0465802199737855,4.451556183076428,10.217750697217822,40.65064816505386,23,77,127,148,101,90,62,50,21,7,8.22817689595132,0,8,23.0,25.0,5.0,2.0,0.5,4,78,0.11048158640226627,0.0
Hendry,-0.5952294580935205,100.27,6.084951432072956,4.492355230966371,10.599630242075872,30.310319042871384,39,69,221,294,246,210,137,73,41,24,8.83346272071993,4,14,15.0,29.0,13.0,4.0,0.0,3,138,0.1018450184501845,0.030769230769230767
Hernando,0.046021881004887355,95.99,6.581803845595885,4.566767359981472,12.146099686335521,20.26841440236146,14,40,195,206,165,180,160,111,74,34,9.599201730917567,32,109,471.0,703.0,4.0,1.0,0.985185185,68,219,0.18575063613231552,0.03546099290780142
Highlands,-0.47561897513157836,94.67,6.4046045401760505,4.52443507053505,11.546689007123033,24.5437670398515,17,25,87,124,107,111,127,77,72,18,9.421087402953841,12,65,186.0,285.0,4.0,2.0,0.957446809,47,167,0.21830065359477124,0.05232558139534884
Hillsborough,1.8048138448030384,100.64,7.902826290201354,4.672097857935716,14.183529910083617,55.33469447078284,502,1002,4239,5386,3754,3428,2529,1325,744,396,12.143207390368623,375,1542,2937.0,3793.0,96.0,28.0,0.958899083,681,2465,0.1039821142326837,0.02587558808154731
Holmes,-0.5847079533040176,92.4,5.5101037895966565,4.483843946921347,9.90593455617918,16.143997206843235,3,2,41,76,68,55,29,16,8,4,8.142354276849835,0,10,7.0,20.0,1.0,1.0,0.636363636,3,28,0.0924092409240924,0.0
Indian River,-0.11142378349710395,99.93,6.728096457351255,4.8811506111447605,11.950786770053798,34.50926493652341,30,89,285,279,219,214,164,129,99,76,9.953990534709234,40,107,291.0,453.0,7.0,2.0,0.952095808,42,304,0.19179810725552046,0.05555555555555555
Jackson,-0.5624105383385525,90.3,6.078827513938949,4.506586201357899,10.757243088609178,25.52796525367796,7,21,89,146,151,143,107,78,46,43,8.951051374025619,3,51,23.0,81.0,6.0,2.0,0.6521739129999999,6,167,0.2009626955475331,0.003125
Jefferson,-0.6156917108481517,93.62,5.4810841518150895,4.609978381973562,9.600759521879075,20.489306984298864,3,3,15,18,14,17,15,14,7,7,7.469654172932128,1,1,0.0,0.0,1.0,1.0,0.0,0,28,0.24778761061946905,0.125
Lafayette,-0.6293480904166191,90.75,5.3202543268006135,4.382881167181435,9.045701550034536,24.646545626031603,2,5,9,15,5,11,12,9,2,3,6.606650186198215,0,4,0.0,0.0,1.0,1.0,0.0,0,14,0.1917808219178082,0.0
Lake,-0.007276287947468389,97.8,6.9182502606877305,4.625209525381881,12.786182698276098,23.188981293054944,61,115,552,650,507,521,453,266,164,47,10.813116141536733,62,240,649.0,833.0,13.0,4.0,0.979617834,196,477,0.14268620999102602,0.03319502074688797
Lee,1.0110658178445275,102.78,7.432106030406006,4.709829433186508,13.507827118468878,36.7901238934201,204,398,2040,2439,2054,1993,1579,967,614,413,11.431238072210013,204,541,1476.0,2077.0,63.0,19.0,0.914510686,222,1994,0.15687200062937612,0.045881126173096975
Leon,0.12878795702009493,96.4,7.1512210858072205,4.648184305764576,12.599799124732948,47.7746872670734,24,115,1169,590,346,299,269,123,42,18,10.697271609917486,34,301,673.0,886.0,10.0,3.0,0.923566879,39,183,0.060898502495840265,0.016877637130801686
Levy,-0.5935396484361933,94.28,6.042288775571167,4.546592012319944,10.629343907505778,26.670021775949674,3,11,67,65,50,54,54,30,15,8,8.42726848388825,6,17,0.0,0.0,3.0,1.0,0.0,0,53,0.14804469273743018,0.0099009900990099
Liberty,-0.6404295630546281,91.8,5.260336179155813,4.372580635030913,9.079320109537779,20.76048791609667,2,4,40,71,60,69,46,8,2,1,7.925157512224703,0,3,0.0,0.0,4.0,2.0,0.0,0,11,0.03630363036303631,0.004545454545454545
Madison,-0.6102936225486177,90.37,5.69012605547726,4.500716623555478,9.881753060390121,25.034287174246288,27,32,61,60,67,74,62,30,12,19,8.327967858305488,3,8,7.0,15.0,3.0,1.0,0.75,4,61,0.1373873873873874,0.036585365853658534
Manatee,0.25852731965391845,98.73,7.100338247573029,4.6755767236029415,12.867249167660344,32.52092851574801,136,394,1065,1182,1080,979,782,473,306,169,11.089408396254315,122,240,687.0,892.0,33.0,10.0,0.916142558,119,948,0.14431420307504947,0.08092892329345533
Marion,-0.2579469439044079,93.37,6.9655716582912754,4.5681665095732615,12.795028071609227,25.63076513299725,42,76,363,445,408,368,330,213,129,47,10.46848881274789,59,266,798.0,1091.0,7.0,2.0,0.984251969,127,389,0.16054477919933965,0.0253968253968254
Martin,-0.13017164555897015,102.17,6.841791234838246,4.923622177298423,11.974127977762894,43.80195841057265,99,184,494,557,538,483,308,197,150,95,9.988425949052319,67,154,298.0,490.0,27.0,8.0,0.903614458,83,442,0.14221364221364222,0.014778325123152709
